harness,model,variant,experiment,n_runs,composition.alternative_approaches_considered__delta,composition.alternative_approaches_considered__delta_ci,composition.alternative_approaches_considered__ratio,composition.alternative_approaches_considered__n,composition.alternatives_implemented__delta,composition.alternatives_implemented__delta_ci,composition.alternatives_implemented__ratio,composition.alternatives_implemented__n,composition.planning__delta,composition.planning__delta_ci,composition.planning__ratio,composition.planning__n,composition.hypotheses_stated__delta,composition.hypotheses_stated__delta_ci,composition.hypotheses_stated__ratio,composition.hypotheses_stated__n,composition.hypotheses_grounded__delta,composition.hypotheses_grounded__delta_ci,composition.hypotheses_grounded__ratio,composition.hypotheses_grounded__n,composition.evidence_collection__delta,composition.evidence_collection__delta_ci,composition.evidence_collection__ratio,composition.evidence_collection__n,composition.error_diagnosis__delta,composition.error_diagnosis__delta_ci,composition.error_diagnosis__ratio,composition.error_diagnosis__n,composition.self_corrections__delta,composition.self_corrections__delta_ci,composition.self_corrections__ratio,composition.self_corrections__n,composition.final_validation__delta,composition.final_validation__delta_ci,composition.final_validation__ratio,composition.final_validation__n,composition.testing_verification__delta,composition.testing_verification__delta_ci,composition.testing_verification__ratio,composition.testing_verification__n,waste.unused_branches__delta,waste.unused_branches__delta_ci,waste.unused_branches__ratio,waste.unused_branches__n,waste.task_restatements__delta,waste.task_restatements__delta_ci,waste.task_restatements__ratio,waste.task_restatements__n,waste.redundant_verification__delta,waste.redundant_verification__delta_ci,waste.redundant_verification__ratio,waste.redundant_verification__n,waste.speculative_architecture__delta,waste.speculative_architecture__delta_ci,waste.speculative_architecture__ratio,waste.speculative_architecture__n,waste.post_solution_reasoning__delta,waste.post_solution_reasoning__delta_ci,waste.post_solution_reasoning__ratio,waste.post_solution_reasoning__n,waste.planning_without_implementation__delta,waste.planning_without_implementation__delta_ci,waste.planning_without_implementation__ratio,waste.planning_without_implementation__n,quality.factual_grounding__delta,quality.factual_grounding__delta_ci,quality.factual_grounding__ratio,quality.factual_grounding__n,quality.unsupported_assumptions__delta,quality.unsupported_assumptions__delta_ci,quality.unsupported_assumptions__ratio,quality.unsupported_assumptions__n,quality.reversals_without_new_evidence__delta,quality.reversals_without_new_evidence__delta_ci,quality.reversals_without_new_evidence__ratio,quality.reversals_without_new_evidence__n,quality.task_relevance__delta,quality.task_relevance__delta_ci,quality.task_relevance__ratio,quality.task_relevance__n,quality.uncertainty_calibration__delta,quality.uncertainty_calibration__delta_ci,quality.uncertainty_calibration__ratio,quality.uncertainty_calibration__n
claude-code,deepseek-ai/DeepSeek-V4-Pro,bounded_efficiency,pilot_b,1,1.0,"[1.000,1.000]",,1,1.0,"[1.000,1.000]",,1,6.0,"[6.000,6.000]",7.0,1,0.0,"[0.000,0.000]",1.0,1,0.0,"[0.000,0.000]",1.0,1,0.0,"[0.000,0.000]",1.0,1,3.0,"[3.000,3.000]",2.5,1,2.0,"[2.000,2.000]",2.0,1,-1.0,"[-1.000,-1.000]",0.0,1,-2.0,"[-2.000,-2.000]",0.5,1,0.0,"[0.000,0.000]",,1,0.0,"[0.000,0.000]",,1,0.0,"[0.000,0.000]",1.0,1,-1.0,"[-1.000,-1.000]",0.0,1,0.0,"[0.000,0.000]",,1,0.0,"[0.000,0.000]",,1,-2.0,"[-2.000,-2.000]",0.333,1,2.0,"[2.000,2.000]",,1,1.0,"[1.000,1.000]",,1,0.0,"[0.000,0.000]",1.0,1,-1.0,"[-1.000,-1.000]",0.5,1
claude-code,deepseek-ai/DeepSeek-V4-Pro,bounded_efficiency,screening_cc,15,0.0,"[-0.500,1.000]",1.0,15,0.0,"[0.000,1.000]",2.0,15,-1.0,"[-3.000,1.000]",0.667,15,0.0,"[-0.500,0.750]",1.0,15,0.0,"[-0.500,0.500]",1.0,15,0.0,"[-2.500,0.500]",1.0,15,-1.5,"[-4.000,1.000]",0.571,15,0.5,"[-1.000,1.000]",1.2,15,0.0,"[-1.000,0.000]",0.0,15,-2.0,"[-3.500,1.000]",0.364,15,0.0,"[-1.000,1.000]",0.0,15,0.0,"[-1.000,0.000]",0.0,15,-0.5,"[-3.000,0.500]",0.667,15,0.0,"[0.000,0.500]",0.333,15,0.0,"[0.000,0.000]",,15,0.0,"[-0.500,0.000]",0.667,15,0.0,"[-1.000,0.500]",1.0,15,0.5,"[-0.500,1.000]",0.667,15,0.0,"[-0.250,0.000]",0.0,15,0.0,"[0.000,0.500]",1.0,15,0.0,"[-1.000,0.500]",1.0,15
claude-code,deepseek-ai/DeepSeek-V4-Pro,deep_thinking,pilot_b,2,1.0,"[1.000,1.000]",,2,1.0,"[1.000,1.000]",,2,4.5,"[4.500,4.500]",5.5,2,0.5,"[0.500,0.500]",1.5,2,0.5,"[0.500,0.500]",1.5,2,1.5,"[1.500,1.500]",1.75,2,4.0,"[4.000,4.000]",3.0,2,1.5,"[1.500,1.500]",1.75,2,0.0,"[0.000,0.000]",1.0,2,-2.0,"[-2.000,-2.000]",0.5,2,0.0,"[0.000,0.000]",,2,1.5,"[1.500,1.500]",,2,-0.5,"[-0.500,-0.500]",0.75,2,-1.0,"[-1.000,-1.000]",0.0,2,0.0,"[0.000,0.000]",,2,0.5,"[0.500,0.500]",,2,-1.0,"[-1.000,-1.000]",0.667,2,2.5,"[2.500,2.500]",,2,1.0,"[1.000,1.000]",,2,0.0,"[0.000,0.000]",1.0,2,0.0,"[0.000,0.000]",1.0,2
claude-code,deepseek-ai/DeepSeek-V4-Pro,deep_thinking,screening_cc,14,0.0,"[-0.500,1.000]",1.0,14,0.0,"[-0.250,0.500]",1.0,14,-1.0,"[-3.000,0.000]",0.714,14,0.0,"[-0.500,0.250]",1.0,14,0.0,"[-0.500,0.000]",1.0,14,0.5,"[-1.000,1.000]",1.2,14,-1.5,"[-3.500,1.750]",0.795,14,-0.5,"[-1.750,0.000]",0.75,14,0.0,"[-0.500,1.000]",0.0,14,2.0,"[-3.750,2.500]",1.69,14,0.0,"[-0.500,0.000]",0.5,14,0.0,"[-0.500,1.000]",0.667,14,-0.25,"[-1.250,2.000]",0.929,14,0.0,"[-0.500,0.000]",0.0,14,0.0,"[0.000,0.000]",,14,0.0,"[-1.000,0.000]",0.0,14,0.0,"[0.000,0.750]",1.0,14,-0.5,"[-1.000,0.250]",0.667,14,0.0,"[-0.500,0.000]",0.0,14,0.0,"[0.000,0.500]",1.0,14,0.0,"[-0.500,0.500]",1.0,14
claude-code,deepseek-ai/DeepSeek-V4-Pro,exhaustive_exploration,pilot_b,2,1.0,"[1.000,1.000]",,2,1.0,"[1.000,1.000]",,2,1.5,"[1.500,1.500]",2.5,2,1.0,"[1.000,1.000]",2.0,2,0.0,"[0.000,0.000]",1.0,2,0.0,"[0.000,0.000]",1.0,2,6.5,"[6.500,6.500]",4.25,2,-0.5,"[-0.500,-0.500]",0.75,2,0.5,"[0.500,0.500]",1.5,2,-1.5,"[-1.500,-1.500]",0.625,2,0.0,"[0.000,0.000]",,2,0.5,"[0.500,0.500]",,2,1.0,"[1.000,1.000]",1.5,2,-1.0,"[-1.000,-1.000]",0.0,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,-2.0,"[-2.000,-2.000]",0.333,2,3.0,"[3.000,3.000]",,2,0.5,"[0.500,0.500]",,2,0.0,"[0.000,0.000]",1.0,2,-1.0,"[-1.000,-1.000]",0.5,2
claude-code,deepseek-ai/DeepSeek-V4-Pro,exhaustive_exploration,screening_cc,13,0.0,"[-0.500,1.000]",0.0,13,0.0,"[-0.500,0.500]",0.0,13,-2.0,"[-3.000,-1.500]",0.429,13,0.0,"[-1.000,0.500]",1.0,13,0.0,"[-0.500,0.500]",1.0,13,-0.5,"[-2.500,-0.500]",0.667,13,-0.5,"[-3.500,0.750]",0.714,13,0.5,"[0.000,1.000]",1.2,13,0.0,"[-0.500,1.000]",0.0,13,-1.0,"[-2.500,0.000]",0.667,13,0.0,"[0.000,0.000]",1.0,13,0.0,"[-1.500,1.000]",0.0,13,-1.0,"[-5.000,2.500]",0.667,13,0.0,"[-0.500,0.000]",0.0,13,0.0,"[0.000,0.000]",,13,0.0,"[-0.500,0.500]",1.0,13,0.0,"[0.000,0.500]",1.0,13,-0.5,"[-1.500,0.000]",0.583,13,0.0,"[0.000,1.000]",2.0,13,0.0,"[0.000,0.500]",1.0,13,0.0,"[-0.500,0.750]",1.0,13
claude-code,moonshotai/Kimi-K2.6,bounded_efficiency,screening_cc,15,-0.5,"[-1.500,0.000]",0.0,15,0.0,"[-0.500,0.000]",0.0,15,-2.0,"[-6.500,-0.500]",0.333,15,-0.5,"[-1.750,0.500]",0.667,15,0.0,"[0.000,0.000]",1.0,15,0.0,"[-1.000,0.000]",0.9,15,-4.0,"[-6.500,-0.500]",0.0,15,-1.0,"[-2.000,-0.500]",0.0,15,0.0,"[-0.500,1.000]",0.0,15,0.0,"[-4.500,1.250]",0.984,15,-0.5,"[-1.500,0.000]",0.0,15,-0.5,"[-1.250,0.000]",0.0,15,-2.0,"[-5.000,1.000]",0.292,15,0.0,"[0.000,0.000]",,15,0.0,"[0.000,0.000]",,15,0.0,"[-0.500,0.000]",0.667,15,0.5,"[0.000,1.500]",1.2,15,-1.0,"[-1.500,0.500]",0.0,15,-1.0,"[-1.500,0.000]",0.0,15,0.5,"[0.000,0.500]",1.2,15,0.0,"[-1.000,1.000]",1.0,15
claude-code,moonshotai/Kimi-K2.6,deep_thinking,screening_cc,16,0.0,"[-0.750,0.250]",0.25,16,0.0,"[-0.500,0.000]",0.0,16,-1.5,"[-5.500,0.000]",0.586,16,0.0,"[-0.500,0.500]",1.0,16,0.0,"[0.000,1.000]",1.0,16,0.0,"[-1.000,0.000]",1.0,16,-2.5,"[-4.750,1.000]",0.45,16,-1.0,"[-1.500,-0.250]",0.0,16,0.25,"[-0.250,0.500]",1.167,16,0.0,"[-3.750,2.500]",0.823,16,0.0,"[-1.000,0.500]",0.0,16,0.25,"[0.000,1.000]",1.167,16,-0.75,"[-3.000,1.500]",0.733,16,0.0,"[0.000,0.000]",,16,0.0,"[0.000,0.000]",,16,0.0,"[-1.000,0.000]",0.0,16,0.0,"[-0.500,1.000]",1.0,16,-0.5,"[-1.000,0.000]",0.0,16,-0.5,"[-1.500,0.000]",0.0,16,0.25,"[0.000,0.500]",1.1,16,0.0,"[-0.500,1.000]",0.9,16
claude-code,moonshotai/Kimi-K2.6,exhaustive_exploration,pilot_b,1,0.0,"[0.000,0.000]",,1,0.0,"[0.000,0.000]",,1,6.0,"[6.000,6.000]",4.0,1,7.0,"[7.000,7.000]",1.875,1,0.0,"[0.000,0.000]",1.0,1,3.0,"[3.000,3.000]",1.6,1,10.0,"[10.000,10.000]",2.0,1,4.0,"[4.000,4.000]",1.667,1,-1.0,"[-1.000,-1.000]",0.0,1,-5.0,"[-5.000,-5.000]",0.75,1,0.0,"[0.000,0.000]",,1,-1.0,"[-1.000,-1.000]",0.667,1,-10.0,"[-10.000,-10.000]",0.333,1,0.0,"[0.000,0.000]",,1,0.0,"[0.000,0.000]",,1,0.0,"[0.000,0.000]",1.0,1,-1.0,"[-1.000,-1.000]",0.5,1,1.0,"[1.000,1.000]",1.333,1,-1.0,"[-1.000,-1.000]",0.5,1,0.0,"[0.000,0.000]",1.0,1,0.0,"[0.000,0.000]",1.0,1
claude-code,moonshotai/Kimi-K2.6,exhaustive_exploration,screening_cc,15,0.0,"[-0.500,0.500]",1.333,15,0.0,"[-0.500,1.000]",0.333,15,-1.0,"[-4.500,1.000]",0.667,15,0.5,"[-0.500,1.250]",2.0,15,0.0,"[0.000,1.000]",1.0,15,2.0,"[-1.500,2.500]",2.333,15,1.5,"[-4.500,9.000]",1.75,15,-0.5,"[-1.000,0.500]",0.733,15,0.0,"[-0.500,0.500]",0.667,15,2.5,"[-0.750,6.500]",1.702,15,0.0,"[-0.500,1.000]",0.333,15,-0.5,"[-1.000,1.500]",0.667,15,3.0,"[-3.500,6.500]",1.917,15,0.0,"[0.000,0.000]",,15,0.0,"[0.000,0.000]",,15,0.0,"[-1.000,0.500]",1.0,15,0.0,"[-0.500,1.000]",1.0,15,0.0,"[-1.500,1.500]",0.75,15,0.0,"[-1.000,0.000]",0.833,15,0.5,"[-0.250,0.500]",1.2,15,0.0,"[-1.000,1.000]",1.0,15
