run_id,turns,uncached_in,cache_read,cache_write,output,reported_usd,token_math_5m_usd,rel_diff_5m,implied_cache_write_rate_per_M,rel_diff_vs_intro_pricing
claude-code_claude-sonnet-5_js-high-01_bounded_efficiency_r2_b4650d,10,20,307166,10427,1320,0.151111,0.151111,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-high-01_verbose_repetition_r2_cd59e8,8,16,243722,10250,1257,0.130457,0.130457,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-high-01_no_questions_autonomy_r2_3f3678,7,14,210812,10112,1247,0.119911,0.119911,0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-high-01_multiple_approaches_r1_ed6846,9,18,280206,11341,2322,0.161475,0.161475,0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-high-01_deep_thinking_r2_c99876,7,14,212097,10549,1659,0.128115,0.128115,0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-high-01_max_certainty_r2_1e41ad,10,20,309896,10933,2138,0.166098,0.166098,0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-high-01_max_certainty_r1_002936,10,20,307825,10667,1578,0.156079,0.156079,0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-high-01_exhaustive_exploration_r2_1c8db6,8,14,212173,10363,1305,0.12213,0.12213,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-high-01_verbose_repetition_r1_d1ce1a,7,14,211357,9994,1027,0.116332,0.116332,0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-high-01_bounded_efficiency_r1_3cbfce,8,14,211650,10102,1080,0.11762,0.11762,0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-high-01_baseline_r2_798141,8,16,242982,10249,1370,0.131926,0.131926,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-high-01_adjacent_cleanup_r1_77fa43,10,20,311024,10988,2177,0.167227,0.167227,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-high-01_exhaustive_exploration_r1_087847,9,16,244839,10602,1510,0.135907,0.135907,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-high-01_multiple_approaches_r2_6a4a96,8,16,247027,11046,2203,0.148624,0.148624,0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-high-01_baseline_r1_4308df,8,16,242801,10090,1249,0.129461,0.129461,0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-high-01_adjacent_cleanup_r2_3b60e9,7,14,211249,10089,1196,0.11919,0.11919,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-high-01_deep_thinking_r1_6c7f0c,9,18,275501,10240,1375,0.141729,0.141729,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-high-01_no_questions_autonomy_r1_37af89,9,18,275355,10280,1318,0.14098,0.140981,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-med-03_deep_thinking_r2_541a19,17,34,536518,11447,2354,0.239294,0.239294,0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-med-03_baseline_r2_578fb5,5,10,146212,9159,498,0.08571,0.08571,0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-med-03_verbose_repetition_r1_6a22df,5,10,146780,9342,530,0.087047,0.087046,0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-med-03_bounded_efficiency_r1_c3064e,6,12,178128,9441,681,0.099093,0.099093,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-med-03_adjacent_cleanup_r1_d94535,8,16,243576,10235,1144,0.128662,0.128662,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-med-03_deep_thinking_r1_772e04,22,44,712413,13882,4359,0.331298,0.331298,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-med-03_max_certainty_r1_a14d14,17,34,542106,12347,3638,0.263605,0.263605,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-med-03_bounded_efficiency_r2_eeecf3,6,12,178078,9431,667,0.098831,0.098831,0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-med-03_max_certainty_r2_6ce9fc,15,30,472640,11468,2128,0.216807,0.216807,-0.0,3.75,0.3333
claude-code_claude-sonnet-5_js-med-03_verbose_repetition_r2_acf36e,7,14,210079,9585,778,0.110679,0.110679,-0.0,3.75,0.3333
