run_id,experiment,harness,model,task_id,variant,rep,wall_s,turns,reasoning_tokens,visible_output_tokens,logical_input_tokens,reported_cost_usd,estimated_no_cache_cost_usd,scope_compliant_success,tool_calls,failed_calls,error_recovery_calls,duplicate_commands,repeated_reads,post_green_repeat_tests,post_success_calls,abandoned_exploration_calls,distinct_files_read,tool_result_chars,est_tool_result_tokens,induced_cost_lower_usd,induced_cost_upper_usd,context_growth_tokens,tool_wall_s,n_calls_with_duration,cat_code_edit,cat_file_read,cat_file_search,cat_test_execution,cat_navigation,cat_other_bash,cat_git_inspect,cat_env_inspect,cat_other_tool,cat_lint_static,cat_build_compile
pi_nemotron-3-ultra-550b-a55b_py-low-01_exhaustive_exploration_r3_f3fcfa,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,exhaustive_exploration,3,7.1,5,214,712,11630,0.009541,0.009541,True,7,0,0,0,0,0,0,2,4,1139,285,0.000264,0.000451,1071,,0,1,4,1,1,0,0,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_bounded_efficiency_r3_a1f472,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,bounded_efficiency,3,8.94,6,682,1317,16416,0.014591,0.014591,True,7,0,0,0,0,0,1,1,3,1408,352,0.000415,0.000823,1704,,0,1,3,0,1,1,1,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_exhaustive_exploration_r1_60306c,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,exhaustive_exploration,1,5.42,5,131,579,11309,0.00887,0.00887,True,6,0,0,0,0,0,0,1,3,1139,285,0.000264,0.000451,934,,0,1,3,1,1,0,0,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_adjacent_cleanup_r1_da31df,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,adjacent_cleanup,1,11.94,9,830,1757,29944,0.024292,0.024292,True,12,0,0,1,1,1,4,1,3,2806,702,0.001045,0.002293,2671,,0,1,5,0,2,3,1,0,0,0,0,0
pi_Kimi-K2.6_js-high-01_baseline_r2_0580dc,pilot_a,pi,moonshotai/Kimi-K2.6,js-high-01,baseline,2,23.55,5,3242,3756,15363,0.02497,0.035338,True,5,0,0,0,0,0,0,1,2,1730,432,0.000677,0.001466,4172,,0,1,2,0,1,1,0,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_deep_thinking_r1_f3d4e6,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,deep_thinking,1,11.13,6,443,776,14081,0.011242,0.011242,True,5,0,0,0,0,0,0,1,2,1235,309,0.000318,0.000585,1124,,0,1,2,0,1,1,0,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_bounded_efficiency_r2_7cf28b,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,bounded_efficiency,2,5.96,6,225,508,13379,0.009856,0.009856,True,6,0,0,0,0,0,1,1,2,933,233,0.000264,0.000513,779,,0,1,2,0,1,1,1,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_exhaustive_exploration_r3_91749b,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,exhaustive_exploration,3,9.57,7,755,1405,19809,0.016943,0.016943,True,9,1,1,0,0,0,1,1,4,2104,526,0.000656,0.001336,1969,,0,1,4,1,2,0,1,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_baseline_r1_6d4896,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,baseline,1,4.17,4,117,332,7973,0.005979,0.005979,True,3,0,0,0,0,0,0,0,1,602,150,0.00012,0.000179,493,,0,1,1,0,1,0,0,0,0,0,0,0
pi_DeepSeek-V4-Pro_js-high-01_adjacent_cleanup_r2_bd1b30,pilot_a,pi,deepseek-ai/DeepSeek-V4-Pro,js-high-01,adjacent_cleanup,2,37.75,5,771,1645,13119,0.019878,0.028552,True,6,0,0,0,0,0,0,1,2,2122,530,0.001051,0.002038,2112,,0,1,3,0,1,1,0,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_bounded_efficiency_r3_053917,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,bounded_efficiency,3,9.46,5,209,504,11142,0.0085,0.0085,True,5,0,0,0,0,0,0,1,2,940,235,0.000221,0.00038,794,,0,1,2,1,1,0,0,0,0,0,0,0
pi_Kimi-K2.6_js-high-01_baseline_r3_717af0,pilot_a,pi,moonshotai/Kimi-K2.6,js-high-01,baseline,3,19.79,7,3415,4281,27224,0.031005,0.051933,True,7,0,0,0,0,0,2,1,2,2424,606,0.001062,0.002735,4844,,0,1,3,0,1,1,1,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_exhaustive_exploration_r2_a7c743,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,exhaustive_exploration,2,13.47,7,565,1245,19681,0.016291,0.016291,True,9,1,1,0,0,0,1,1,4,2104,526,0.000656,0.001336,1843,,0,1,4,1,2,0,1,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_baseline_r2_13958a,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,baseline,2,5.54,4,178,368,7974,0.006109,0.006109,True,3,0,0,0,0,0,0,0,1,569,142,0.000113,0.000169,485,,0,1,1,0,1,0,0,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-low-01_goal_only_r2_5eba9d,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,goal_only,2,6.22,4,255,445,62375,0.016482,0.061036,True,2,0,0,0,0,0,0,0,1,428,107,0.000221,0.000701,276,0.05,2,1,1,0,0,0,0,0,0,0,0,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_bounded_efficiency_r2_d98bba,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,bounded_efficiency,2,8.52,6,356,922,14969,0.012301,0.012301,True,7,0,0,0,0,0,1,1,3,1212,303,0.000347,0.000676,1259,,0,1,3,1,1,0,1,0,0,0,0,0
claude-code_Kimi-K2.7-Code_py-low-01_baseline_r2_29c87e,pilot_b,claude-code,moonshotai/Kimi-K2.7-Code,py-low-01,baseline,2,4.34,4,60,351,62769,0.015508,0.061035,True,3,1,0,0,0,0,0,0,1,458,114,0.000175,0.00044,373,0.06,3,1,1,0,1,0,0,0,0,0,0,0
