semantic,quant,spearman_rho,n
waste.unused_branches,reasoning_tokens,0.54,2792
waste.unused_branches,visible_output_tokens,0.527,2801
waste.unused_branches,tool_total_tool_calls,0.285,2801
waste.unused_branches,turns,0.249,2795
waste.unused_branches,estimated_no_cache_cost_usd,0.336,2801
waste.redundant_verification,reasoning_tokens,0.324,2792
waste.redundant_verification,visible_output_tokens,0.384,2801
waste.redundant_verification,tool_total_tool_calls,0.516,2801
waste.redundant_verification,turns,0.578,2795
waste.redundant_verification,estimated_no_cache_cost_usd,0.483,2801
waste.task_restatements,reasoning_tokens,0.315,2792
waste.task_restatements,visible_output_tokens,0.31,2801
waste.task_restatements,tool_total_tool_calls,0.183,2801
waste.task_restatements,turns,0.202,2795
waste.task_restatements,estimated_no_cache_cost_usd,0.263,2801
waste.post_solution_reasoning,reasoning_tokens,0.246,2792
waste.post_solution_reasoning,visible_output_tokens,0.248,2801
waste.post_solution_reasoning,tool_total_tool_calls,0.199,2801
waste.post_solution_reasoning,turns,0.21,2795
waste.post_solution_reasoning,estimated_no_cache_cost_usd,0.059,2801
quality.unsupported_assumptions,reasoning_tokens,0.279,2792
quality.unsupported_assumptions,visible_output_tokens,0.303,2801
quality.unsupported_assumptions,tool_total_tool_calls,0.295,2801
quality.unsupported_assumptions,turns,0.339,2795
quality.unsupported_assumptions,estimated_no_cache_cost_usd,0.357,2801
waste.unused_branches,scope_compliant_success,-0.006,2801
waste.redundant_verification,scope_compliant_success,0.043,2801
waste.task_restatements,scope_compliant_success,-0.09,2801
waste.post_solution_reasoning,scope_compliant_success,0.105,2801
quality.unsupported_assumptions,scope_compliant_success,-0.187,2801
