harness,model,variant,features,n_runs,n_tasks,success_rate,baseline_success_rate,oos_rate,baseline_oos_rate,median_reasoning,median_excess_reasoning,median_reasoning_ratio,ratio_ci_low,ratio_ci_high,n_tasks_direction,median_tool_calls,median_repeated_ops,cost_per_success,nocache_cost_per_success,median_wall_s,classification
claude-code,deepseek-ai/DeepSeek-V4-Pro,bounded_efficiency,bounded;efficiency_instructions;stop_condition,15,8,0.867,0.931,0.067,0.0,544,-428.0,0.679,0.309,1.463,2,11,1,0.11006,0.37417,34.79,inconclusive
claude-code,deepseek-ai/DeepSeek-V4-Pro,deep_thinking,deep_thinking_cue,14,7,0.786,0.929,0.0,0.0,1305.5,803.0,1.892,0.582,4.295,5,10.5,1.5,0.13887,0.50784,70.65,harmful_overthinking
claude-code,deepseek-ai/DeepSeek-V4-Pro,exhaustive_exploration,exhaustive_exploration_cue,14,7,0.857,0.929,0.143,0.0,1099.5,-29.75,0.986,0.829,2.509,4,13.0,1.0,0.12579,0.48625,54.455,inconclusive
claude-code,deepseek-ai/DeepSeek-V4-Pro,no_questions_autonomy,autonomy_cue,14,7,0.857,0.929,0.071,0.0,1020.0,48.75,1.006,0.25,6.115,4,16.0,4.0,0.16699,0.82208,68.75,inconclusive
claude-code,moonshotai/Kimi-K2.6,bounded_efficiency,bounded;efficiency_instructions;stop_condition,16,8,0.938,0.867,0.125,0.0,704.0,-618.5,0.524,0.264,1.208,2,7.0,0.5,0.08797,0.36485,12.105,inconclusive
claude-code,moonshotai/Kimi-K2.6,deep_thinking,deep_thinking_cue,16,8,0.938,0.867,0.0,0.0,1742.5,-8.75,1.01,0.777,1.721,5,9.5,3.5,0.08024,0.29897,20.27,inconclusive
claude-code,moonshotai/Kimi-K2.6,exhaustive_exploration,exhaustive_exploration_cue,15,8,1.0,0.897,0.067,0.0,2100,1089.5,2.078,0.317,3.848,6,18,11,0.11819,0.4965,20.17,useful_deliberation
claude-code,moonshotai/Kimi-K2.6,no_questions_autonomy,autonomy_cue,15,8,0.733,0.897,0.0,0.0,2431,1466.0,1.769,0.486,4.129,5,17,7,0.13523,0.58402,36.74,harmful_overthinking
claude-code,moonshotai/Kimi-K2.7-Code,bounded_efficiency,bounded;efficiency_instructions;stop_condition,12,6,0.917,1.0,0.0,0.0,110.0,-35.75,0.649,0.297,2.087,3,7.5,2.5,0.0402,0.16623,9.955,inconclusive
claude-code,moonshotai/Kimi-K2.7-Code,deep_thinking,deep_thinking_cue,11,6,1.0,1.0,0.0,0.0,282,84.5,1.868,0.622,3.449,4,8,1,0.03037,0.11876,13.92,inconclusive
claude-code,moonshotai/Kimi-K2.7-Code,exhaustive_exploration,exhaustive_exploration_cue,11,6,1.0,1.0,0.0,0.0,183,-34.5,0.537,0.369,4.203,4,9,2,0.03243,0.13011,12.22,neutral
claude-code,moonshotai/Kimi-K2.7-Code,no_questions_autonomy,autonomy_cue,12,6,1.0,1.0,0.0,0.0,205.0,38.5,1.711,0.238,2.134,5,7.0,2.0,0.04228,0.16171,14.940000000000001,inconclusive
claude-code,nvidia/nemotron-3-ultra-550b-a55b,bounded_efficiency,bounded;efficiency_instructions;stop_condition,10,6,0.5,0.667,0.1,0.0,715,-829.5,0.351,0.032,0.569,0,10.5,5.0,0.56794,0.78469,16.235,inconclusive
claude-code,nvidia/nemotron-3-ultra-550b-a55b,deep_thinking,deep_thinking_cue,10,6,0.7,0.667,0.2,0.0,1494.0,-317,0.881,0.763,1.375,1,37.0,21.0,0.56587,0.78048,58.945,neutral
claude-code,nvidia/nemotron-3-ultra-550b-a55b,exhaustive_exploration,exhaustive_exploration_cue,10,6,0.7,0.643,0.1,0.0,839,-629.0,0.464,0.27,1.0,1,25.0,15.0,0.5052,0.68679,74.985,inconclusive
claude-code,nvidia/nemotron-3-ultra-550b-a55b,no_questions_autonomy,autonomy_cue,9,6,0.778,0.692,0.222,0.0,1070,-758.0,0.374,0.314,1.283,1,43,18,0.44824,0.58833,94.98,inconclusive
claude-code,thinkingmachines/Inkling,bounded_efficiency,bounded;efficiency_instructions;stop_condition,11,6,1.0,1.0,0.0,0.0,304,-110.0,0.742,0.603,1.817,2,10,3,0.06491,0.19269,12.96,neutral
claude-code,thinkingmachines/Inkling,deep_thinking,deep_thinking_cue,11,6,1.0,1.0,0.0,0.0,423,20.5,1.051,0.911,2.035,2,11,4,0.06888,0.21204,15.99,neutral
claude-code,thinkingmachines/Inkling,exhaustive_exploration,exhaustive_exploration_cue,12,6,1.0,1.0,0.0,0.0,622.5,175.25,1.566,1.299,1.861,6,15.5,5.0,0.09486,0.34624,22.265,wasteful
claude-code,thinkingmachines/Inkling,no_questions_autonomy,autonomy_cue,12,6,1.0,1.0,0.0,0.0,366.5,12.0,1.032,0.612,2.123,3,9.0,3.5,0.0647,0.19115,13.579999999999998,neutral
claude-code,zai-org/GLM-5.2,bounded_efficiency,bounded;efficiency_instructions;stop_condition,12,7,0.917,0.81,0.0,0.0,139.5,-311.5,0.224,0.058,0.399,1,32.5,9.0,0.26224,0.97675,50.885,inconclusive
claude-code,zai-org/GLM-5.2,deep_thinking,deep_thinking_cue,11,6,0.727,0.8,0.0,0.0,603,152.0,1.104,0.681,1.743,3,13,3,0.16106,0.63603,59.64,inconclusive
claude-code,zai-org/GLM-5.2,exhaustive_exploration,exhaustive_exploration_cue,15,8,0.667,0.818,0.133,0.0,180,-528.5,0.411,0.187,0.669,2,20,6,0.19801,0.82972,35.18,inconclusive
claude-code,zai-org/GLM-5.2,no_questions_autonomy,autonomy_cue,11,6,0.909,0.81,0.0,0.0,625,-181.5,0.773,0.261,0.89,2,38,12,0.25099,1.0504,72.68,inconclusive
pi,deepseek-ai/DeepSeek-V4-Pro,adjacent_cleanup,scope_expansion_cue,32,16,0.906,0.938,0.125,0.0,475.0,204.75,1.53,1.3,1.803,14,7.0,0.0,0.02608,0.05321,36.095,wasteful
pi,deepseek-ai/DeepSeek-V4-Pro,bounded_efficiency,bounded;efficiency_instructions;stop_condition,32,16,0.906,0.938,0.062,0.0,243.0,-67.75,0.832,0.613,0.917,4,6.0,0.0,0.02686,0.0638,18.95,neutral
