run_id,experiment,harness,model,task_id,variant,rep,reasoning_tokens,visible_output_tokens,turns,tool_total_tool_calls,tool_duplicate_reads,tool_repeated_searches,tool_repeated_tests_no_change,edits_reverted,scope_compliant_success,reported_cost_usd,estimated_no_cache_cost_usd,turns_parsed,thinking_chars,visible_chars,tool_calls_parsed,tool_calls_before_first_edit,thinking_chars_before_first_edit,first_green_test_found,tool_calls_after_first_green,test_runs_total,test_runs_after_first_green,postgreen_chars,distinct_files_read,files_read_not_edited,task_restatement_index,redundancy_compression_ratio,plan_markers_per_1k,alt_markers_per_1k,alt_markers_total,plan_markers_total
pi_nemotron-3-ultra-550b-a55b_py-low-01_exhaustive_exploration_r3_f3fcfa,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,exhaustive_exploration,3,214,712,5,7,0,0,0,['tmp/pi-prompt-benchmark/slot-05/shop/discount.py'],True,0.009541,0.009541,5,820,396,7,5,168,True,0,1,0,196,4,3,0.0,0.5427,0.0,1.22,1,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_bounded_efficiency_r3_a1f472,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,bounded_efficiency,3,682,1317,6,7,0,0,0,['tmp/pi-prompt-benchmark/slot-04/cart/checkout.py'],True,0.014591,0.014591,6,1994,486,7,4,410,True,1,1,0,857,3,2,0.0741,0.5906,0.0,1.003,2,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_exhaustive_exploration_r1_60306c,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,exhaustive_exploration,1,131,579,5,6,0,0,0,['tmp/pi-prompt-benchmark/slot-05/shop/discount.py'],True,0.00887,0.00887,5,534,401,6,4,168,True,0,1,0,192,3,2,0.0,0.4644,0.0,0.0,0,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_adjacent_cleanup_r1_da31df,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,adjacent_cleanup,1,830,1757,9,12,2,0,1,['tmp/pi-prompt-benchmark/slot-04/cart/checkout.py'],True,0.024292,0.024292,9,2865,691,12,6,478,True,4,2,1,1667,3,2,0.0,0.6099,0.0,0.698,2,0
pi_Kimi-K2.6_js-high-01_baseline_r2_0580dc,pilot_a,pi,moonshotai/Kimi-K2.6,js-high-01,baseline,2,3242,3756,5,5,0,0,0,[],True,0.02497,0.035338,5,13789,686,5,3,453,False,,1,,,2,1,0.9722,0.71,1.958,0.145,2,27
pi_nemotron-3-ultra-550b-a55b_py-low-01_deep_thinking_r1_f3d4e6,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,deep_thinking,1,443,776,6,5,0,0,0,['tmp/pi-prompt-benchmark/slot-05/shop/discount.py'],True,0.011242,0.011242,6,1365,318,5,3,615,True,0,1,0,424,2,1,0.0,0.6073,0.0,0.0,0,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_bounded_efficiency_r2_7cf28b,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,bounded_efficiency,2,225,508,6,6,0,0,0,[],True,0.009856,0.009856,6,886,89,6,3,364,True,1,1,0,295,2,1,0.0,0.526,0.0,0.0,0,0
pi_nemotron-3-ultra-550b-a55b_py-med-01_exhaustive_exploration_r3_91749b,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-med-01,exhaustive_exploration,3,755,1405,7,9,0,0,0,['tmp/pi-prompt-benchmark/slot-04/cart/checkout.py'],True,0.016943,0.016943,7,1864,465,9,6,1141,True,1,2,0,687,4,3,0.0741,0.6166,0.0,0.0,0,0
pi_nemotron-3-ultra-550b-a55b_py-low-01_baseline_r1_6d4896,pilot_a,pi,nvidia/nemotron-3-ultra-550b-a55b,py-low-01,baseline,1,117,332,4,3,0,0,0,['tmp/pi-prompt-benchmark/slot-05/shop/discount.py'],True,0.005979,0.005979,4,441,118,3,1,106,True,0,1,0,150,1,0,0.0,,0.0,0.0,0,0
pi_DeepSeek-V4-Pro_js-high-01_adjacent_cleanup_r2_bd1b30,pilot_a,pi,deepseek-ai/DeepSeek-V4-Pro,js-high-01,adjacent_cleanup,2,771,1645,5,6,1,0,0,['tmp/pi-prompt-benchmark/slot-03/src/fetchCache.js'],True,0.019878,0.028552,5,3265,1029,6,3,196,False,,1,,,2,1,0.2778,0.5921,0.306,0.306,1,1
