harness,variant,model,provider,n_runs,n_tasks,median_output_ratio,ci_low,ci_high,n_tasks_ratio_gt1,median_reasoning_ratio_ref,scope_success,baseline_scope_success,median_tool_ratio,median_turn_ratio,cost_per_compliant_success,nocache_cost_per_compliant_success,baseline_median_nocache_cost,classification
pi,verbose_repetition,claude-sonnet-5,anthropic,12,6,1.099,0.759,1.155,4,,1.0,1.0,1.0,1.0,0.0077,0.02935,0.02667,neutral
pi,verbose_repetition,deepseek-ai/DeepSeek-V4-Pro,together,12,6,0.905,0.64,1.078,3,0.856,1.0,0.833,1.038,0.962,0.01368,0.03079,0.02677,neutral_or_lower
pi,verbose_repetition,moonshotai/Kimi-K2.6,together,12,6,0.943,0.902,1.181,3,0.992,0.917,1.0,0.8,0.861,0.01375,0.0255,0.01542,neutral_or_lower
pi,verbose_repetition,moonshotai/Kimi-K2.7-Code,together,12,6,0.822,0.57,1.109,1,0.904,0.833,1.0,0.785,0.757,0.00598,0.01198,0.01048,neutral_or_lower
pi,verbose_repetition,nvidia/nemotron-3-ultra-550b-a55b,together,12,6,1.087,0.768,1.3,2,1.05,0.917,0.917,0.929,0.944,0.01628,0.01628,0.01128,neutral
pi,verbose_repetition,zai-org/GLM-5.2,together,12,6,0.632,0.289,0.891,1,0.555,1.0,0.833,0.882,0.889,0.01338,0.02525,0.0209,neutral_or_lower
pi,deep_thinking,claude-sonnet-5,anthropic,12,6,1.303,1.038,1.461,6,,1.0,1.0,1.0,1.0,0.00945,0.03292,0.02667,elevated_unconfirmed
pi,deep_thinking,deepseek-ai/DeepSeek-V4-Pro,together,12,6,1.566,0.699,1.815,5,1.768,0.833,0.833,1.156,1.101,0.03305,0.07094,0.02677,elevated_unconfirmed
pi,deep_thinking,moonshotai/Kimi-K2.6,together,12,6,1.825,0.922,3.09,5,2.345,1.0,1.0,1.0,1.094,0.01983,0.036,0.01542,elevated_unconfirmed
pi,deep_thinking,moonshotai/Kimi-K2.7-Code,together,12,6,1.427,1.215,1.83,6,1.655,1.0,1.0,1.11,1.056,0.01246,0.02255,0.01048,elevated_unconfirmed
pi,deep_thinking,nvidia/nemotron-3-ultra-550b-a55b,together,12,6,1.421,1.208,2.186,6,1.501,0.917,0.917,1.365,1.315,0.0197,0.0197,0.01128,elevated_unconfirmed
pi,deep_thinking,zai-org/GLM-5.2,together,12,6,1.986,0.6,2.387,5,1.753,1.0,0.833,1.333,1.156,0.04062,0.05504,0.0209,elevated_unconfirmed
pi,exhaustive_exploration,claude-sonnet-5,anthropic,12,6,1.896,1.221,2.036,6,,1.0,1.0,1.5,1.25,0.01321,0.03866,0.02667,output_wasteful
pi,exhaustive_exploration,deepseek-ai/DeepSeek-V4-Pro,together,12,6,1.56,1.367,4.078,6,1.56,0.583,0.833,1.385,1.091,0.04916,0.15307,0.02677,output_wasteful
pi,exhaustive_exploration,moonshotai/Kimi-K2.6,together,12,6,1.4,0.968,1.734,5,1.54,0.917,1.0,1.5,1.111,0.03783,0.12416,0.01542,elevated_unconfirmed
pi,exhaustive_exploration,moonshotai/Kimi-K2.7-Code,together,12,6,1.425,1.087,1.563,6,1.398,0.917,1.0,1.308,1.071,0.01207,0.02307,0.01048,elevated_unconfirmed
pi,exhaustive_exploration,nvidia/nemotron-3-ultra-550b-a55b,together,12,6,1.622,1.17,1.811,6,1.374,0.917,0.917,1.692,1.25,0.02422,0.02422,0.01128,output_wasteful
pi,exhaustive_exploration,zai-org/GLM-5.2,together,12,6,1.317,1.136,2.625,6,1.053,0.833,0.833,1.292,1.091,0.05154,0.0997,0.0209,elevated_unconfirmed
pi,multiple_approaches,claude-sonnet-5,anthropic,12,6,2.697,2.142,3.861,6,,1.0,1.0,1.0,1.0,0.01717,0.04152,0.02667,output_wasteful
pi,multiple_approaches,deepseek-ai/DeepSeek-V4-Pro,together,12,6,2.118,1.45,3.039,6,2.686,1.0,0.833,1.303,1.2,0.02654,0.05062,0.02677,elevated_unconfirmed
pi,multiple_approaches,moonshotai/Kimi-K2.6,together,12,6,4.028,2.184,5.285,6,6.003,1.0,1.0,1.225,1.077,0.02965,0.05302,0.01542,output_wasteful
pi,multiple_approaches,moonshotai/Kimi-K2.7-Code,together,12,6,3.002,0.134,4.712,5,4.125,0.75,1.0,1.033,1.083,0.02399,0.0406,0.01048,elevated_unconfirmed
pi,multiple_approaches,nvidia/nemotron-3-ultra-550b-a55b,together,12,6,2.455,1.648,3.302,6,2.799,1.0,0.917,1.381,1.292,0.02335,0.02335,0.01128,output_wasteful
pi,multiple_approaches,zai-org/GLM-5.2,together,12,6,2.904,0.649,6.874,5,2.513,0.75,0.833,1.457,1.094,0.045,0.07983,0.0209,elevated_unconfirmed
pi,max_certainty,claude-sonnet-5,anthropic,12,6,1.682,1.22,2.507,6,,1.0,1.0,1.167,1.125,0.01281,0.04076,0.02667,output_wasteful
pi,max_certainty,deepseek-ai/DeepSeek-V4-Pro,together,12,6,1.288,0.803,1.547,5,1.159,1.0,0.833,1.273,1.101,0.0185,0.03667,0.02677,elevated_unconfirmed
pi,max_certainty,moonshotai/Kimi-K2.6,together,12,6,1.686,1.289,2.086,6,1.451,0.917,1.0,1.45,1.282,0.0157,0.03503,0.01542,output_wasteful
pi,max_certainty,moonshotai/Kimi-K2.7-Code,together,12,6,1.617,0.692,3.042,5,1.723,0.917,1.0,1.2,1.183,0.01638,0.03162,0.01048,elevated_unconfirmed
pi,max_certainty,nvidia/nemotron-3-ultra-550b-a55b,together,12,6,1.46,1.253,2.292,5,1.438,0.917,0.917,1.292,1.278,0.01971,0.01971,0.01128,elevated_unconfirmed
pi,max_certainty,zai-org/GLM-5.2,together,12,6,1.451,0.48,2.273,4,1.188,0.917,0.833,1.547,1.333,0.0259,0.04293,0.0209,elevated_unconfirmed
pi,adjacent_cleanup,claude-sonnet-5,anthropic,12,6,1.324,0.942,2.174,5,,1.0,1.0,1.0,1.0,0.00974,0.03197,0.02667,elevated_unconfirmed
pi,adjacent_cleanup,deepseek-ai/DeepSeek-V4-Pro,together,12,6,1.245,0.988,1.629,5,1.219,0.833,0.833,1.303,1.182,0.03956,0.08698,0.02677,elevated_unconfirmed
pi,adjacent_cleanup,moonshotai/Kimi-K2.6,together,12,6,2.24,1.634,3.678,6,2.323,0.833,1.0,1.317,1.171,0.02662,0.05685,0.01542,output_wasteful
pi,adjacent_cleanup,moonshotai/Kimi-K2.7-Code,together,12,6,1.27,0.984,2.077,5,1.163,0.833,1.0,1.381,1.225,0.01376,0.02741,0.01048,elevated_unconfirmed
pi,adjacent_cleanup,nvidia/nemotron-3-ultra-550b-a55b,together,12,6,1.844,1.146,3.129,6,1.743,0.917,0.917,1.519,1.433,0.04347,0.04603,0.01128,output_wasteful
pi,adjacent_cleanup,zai-org/GLM-5.2,together,12,6,1.658,0.637,2.686,5,1.731,0.833,0.833,1.292,1.303,0.03739,0.0588,0.0209,elevated_unconfirmed
pi,no_questions_autonomy,claude-sonnet-5,anthropic,12,6,0.968,0.778,1.047,3,,1.0,1.0,1.0,1.0,0.00738,0.02777,0.02667,neutral
pi,no_questions_autonomy,deepseek-ai/DeepSeek-V4-Pro,together,12,6,0.948,0.488,1.211,2,0.812,0.917,0.833,1.077,0.962,0.01478,0.02743,0.02677,neutral_or_lower
pi,no_questions_autonomy,moonshotai/Kimi-K2.6,together,12,6,0.963,0.846,1.188,3,0.954,0.917,1.0,1.0,0.923,0.01071,0.02236,0.01542,neutral_or_lower
pi,no_questions_autonomy,moonshotai/Kimi-K2.7-Code,together,12,6,0.85,0.816,1.013,3,0.859,0.917,1.0,0.967,0.929,0.00594,0.01255,0.01048,neutral_or_lower
pi,no_questions_autonomy,nvidia/nemotron-3-ultra-550b-a55b,together,12,6,1.058,0.834,1.206,3,0.945,0.833,0.917,1.143,1.038,0.01784,0.01784,0.01128,neutral_or_lower
pi,no_questions_autonomy,zai-org/GLM-5.2,together,12,6,0.628,0.111,0.95,1,0.383,0.917,0.833,1.017,1.0,0.01231,0.02176,0.0209,neutral_or_lower
pi,bounded_efficiency,claude-sonnet-5,anthropic,12,6,1.022,0.741,1.073,4,,1.0,1.0,1.0,1.0,0.00734,0.02778,0.02667,neutral
pi,bounded_efficiency,deepseek-ai/DeepSeek-V4-Pro,together,12,6,0.879,0.81,1.047,2,0.84,0.917,0.833,1.091,1.038,0.04878,0.12694,0.02677,neutral_or_lower
pi,bounded_efficiency,moonshotai/Kimi-K2.6,together,12,6,1.135,1.03,1.831,4,1.12,0.917,1.0,1.0,0.906,0.01804,0.03741,0.01542,neutral_or_lower
pi,bounded_efficiency,moonshotai/Kimi-K2.7-Code,together,12,6,0.854,0.838,0.937,0,0.835,1.0,1.0,0.929,0.882,0.0067,0.01329,0.01048,neutral
pi,bounded_efficiency,nvidia/nemotron-3-ultra-550b-a55b,together,12,6,1.12,0.982,1.279,3,1.006,0.917,0.917,1.183,1.111,0.01578,0.01578,0.01128,neutral
pi,bounded_efficiency,zai-org/GLM-5.2,together,12,6,0.566,0.257,0.757,0,0.476,0.917,0.833,0.983,0.962,0.01477,0.02429,0.0209,neutral_or_lower
claude-code,verbose_repetition,claude-sonnet-5,anthropic,6,3,0.835,0.743,1.093,1,,1.0,1.0,0.873,0.892,0.10258,0.39482,0.4112,neutral
claude-code,deep_thinking,claude-sonnet-5,anthropic,6,3,1.245,1.003,5.608,3,,1.0,1.0,1.117,1.101,0.17262,0.73687,0.4112,elevated_unconfirmed
